Accuracy mean,K,weights
0.9198573306123408,1,distance
0.9198573306123408,2,distance
0.9234281475216497,3,distance
0.9235709031338427,4,distance
0.9234271275502838,5,distance
0.9259981489786474,6,distance
0.924999372594432,7,distance
0.9267133529878624,8,distance
0.9248566180026476,9,distance
0.9258565160346656,10,distance
0.9262848827984096,11,distance
0.9275711075071248,12,distance
0.9258572295189946,13,distance
0.9257137598393819,14,distance
0.9260002905978159,15,distance
0.9251429435131635,16,distance
0.9247143719388194,17,distance
0.9240006984697441,18,distance
0.9235712086004708,19,distance
0.9198573306123408,1,uniform
0.9182849834544375,2,uniform
0.9232847803931096,3,uniform
0.9191418202618615,4,uniform
0.9239981481040115,5,uniform
0.9214281473758769,6,uniform
0.9254274340373205,7,uniform
0.9238566171280116,8,uniform
0.9261421279150799,9,uniform
0.9231433512393192,10,uniform
0.927999168658468,11,uniform
0.9244283516033864,12,uniform
0.926713964212664,13,uniform
0.9210002894316345,14,uniform
0.9222861059768762,15,uniform
0.9210000852041252,16,uniform
0.9210002889943165,17,uniform
0.918142431195118,18,uniform
0.9199997787170883,19,uniform
